tmdb_title,bom_title,distributor,tmdb_id,popularity,release_date
Primate,Primate,Paramount Pictures,1315303,2.1233,2026-01-09
Mutiny,Mutiny,Lionsgate,1288445,4.615,2026-01-23
Greenland 2: Migration,Greenland: Migration,Lionsgate,840464,11.5079,2026-01-09
28 Years Later: The Bone Temple,28 Years Later: The Bone Temple,Sony Pictures Releasing,1272837,9.62,2026-01-16
Charlie the Wonderdog,Charlie the Wonderdog,Viva Pictures,1276521,2.8373,2026-01-16
Night Patrol,Night Patrol,IFC Films,1323625,2.429,2026-01-16
Mercy,Mercy,Amazon Studios,1236153,1.7212,2026-01-23
Return to Silent Hill,Return to Silent Hill,Iconic Events Releasing,680493,3.4178,2026-01-23
"Good Luck, Have Fun, Don't Die!","Good Luck, Have Fun, Don't Die",Briarcliff Entertainment,1119449,4.7633,2026-01-30
Send Help,Send Help,Walt Disney Studios Motion Pictures,1198994,2.7242,2026-01-30
Solo Mio,Solo Mio,Angel,1291335,0.9114,2026-02-06
Broken Bird,Broken Bird,Independent,1316077,3.7828,2026-02-13
"""Wuthering Heights""",Wuthering Heights,Warner Bros.,1316092,2.5947,2026-02-13
GOAT,GOAT,Sony Pictures Releasing,1297842,2.8825,2026-02-13
I Can Only Imagine 2,I Can Only Imagine 2,Lionsgate,1405769,0.6573,2026-02-20
Psycho Killer,Psycho Killer,20th Century Studios,1107166,2.7109,2026-02-20
Three Bags Full: A Sheep Detective Movie,Three Bags Full: A Sheep Detective Movie,Amazon Studios,1301421,0.7269,2026-11-13
Scream 7,Scream 7,Paramount Pictures,1159559,3.494,2026-02-27
Hoppers,Hoppers,Walt Disney Studios Motion Pictures,1327819,4.4302,2026-03-06
The Bride!,The Bride,IMAX,1159831,10.133,2026-03-06
Reminders of Him,Reminders of Him,Universal Pictures,1367642,1.9705,2026-03-13
The Breadwinner,The Breadwinner,Sony Pictures Releasing,1440050,1.8825,2026-03-13
Project Hail Mary,Project Hail Mary,Amazon Studios,687163,2.9999,2026-03-20
The Pout-Pout Fish,The Pout-Pout Fish,Viva Pictures,1146058,3.1787,2026-03-20
Untitled Trey Parker / Matt Stone / Kendrick Lamar Comedy,Untitled Trey Parker / Matt Stone / Kendrick Lamar / Dave Free,Paramount Pictures,926741,0.8538,2026-03-20
The Dog Stars,The Dog Stars,Walt Disney Studios Motion Pictures,1384216,3.0235,2026-03-27
Animal Friends,Animal Friends,Sony Pictures Releasing,1115030,1.4323,2026-05-01
The Devil Wears Prada 2,The Devil Wears Prada 2,Walt Disney Studios Motion Pictures,1314481,3.4087,2026-05-01
Is God Is,Is God Is,Amazon Studios,1380316,1.7919,2026-05-15
Mortal Kombat II,Mortal Kombat II,Warner Bros.,931285,4.3926,2026-05-15
The Mandalorian and Grogu,The Mandalorian and Grogu,Walt Disney Studios Motion Pictures,1228710,13.8163,2026-05-22
Untitled Trey Parker / Matt Stone / Kendrick Lamar Comedy,Untitled Taika Waititi Star Wars Film,Walt Disney Studios Motion Pictures,926741,0.8538,2026-03-20
Scary Movie,Scary Movie 6,Paramount Pictures,1273221,1.5819,2026-06-12
Toy Story 5,Toy Story 5,Walt Disney Studios Motion Pictures,1084244,4.1557,2026-06-19
Supergirl,Supergirl,Warner Bros.,1081003,2.43,2026-06-26
Minions 3,Minions 3,Universal Pictures,1315772,2.6562,2026-07-01
Shiver,Shiver,Sony Pictures Releasing,1290417,1.5689,2026-07-03
Moana,Moana,Walt Disney Studios Motion Pictures,1108427,4.0352,2026-07-10
Cut Off,Cut Off,Warner Bros.,1451148,0.5987,2026-07-17
The Odyssey,The Odyssey,Universal Pictures,1368337,6.4412,2026-07-17
Evil Dead Burn,Evil Dead Burn,Warner Bros.,1212763,0.7025,2026-07-24
Spider-Man: Brand New Day,Spider-Man: Brand New Day,Sony Pictures Releasing,969681,6.5808,2026-07-31
The Cat in the Hat,The Cat in the Hat,Warner Bros.,1117898,1.9215,2026-11-06
The Hunger Games: Sunrise on the Reaping,The Hunger Games: Sunrise on the Reaping,Lionsgate,1300968,2.1088,2026-11-20
Violent Night 2,Violent Night 2,Universal Pictures,1078446,1.9418,2026-12-04
Avengers: Doomsday,Avengers: Doomsday,Walt Disney Studios Motion Pictures,1003596,13.2883,2026-12-18
Jumanji 3,Jumanji 3,Sony Pictures Releasing,1260649,4.8114,2026-12-11
The Angry Birds Movie 3,The Angry Birds Movie 3,Paramount Pictures,1300926,4.0753,2026-12-23
